,gen1,gen1m,gen2,gen2m,gen3,gen3m,gen4,gen4m,gen5,gen5m,gen6,gen6m,gen7,gen7m,gen8,gen8m,gen9,gen9m,gen10,gen10m
0,0.22916666666666666,0.20833333333333334,0.20754716981132076,0.22641509433962265,0.1836734693877551,0.15306122448979592,0.21794871794871795,0.2692307692307692,0.1875,0.25,0.22972972972972974,0.2702702702702703,0.24285714285714285,0.2571428571428571,0.16483516483516483,0.25274725274725274,0.2413793103448276,0.19540229885057472,0.19148936170212766,0.19148936170212766
1,0.1797752808988764,0.19101123595505617,0.2112676056338028,0.2112676056338028,0.2318840579710145,0.2463768115942029,0.21875,0.20833333333333334,0.17,0.19,0.1506849315068493,0.136986301369863,0.24,0.28,0.2465753424657534,0.2328767123287671,0.23076923076923078,0.2153846153846154,0.24444444444444444,0.15555555555555556
2,0.16326530612244897,0.23469387755102042,0.24175824175824176,0.1978021978021978,0.20689655172413793,0.1724137931034483,0.1780821917808219,0.1780821917808219,0.17857142857142858,0.25,0.21739130434782608,0.2463768115942029,0.1566265060240964,0.14457831325301204,0.18888888888888888,0.15555555555555556,0.1375,0.1875,0.18181818181818182,0.13131313131313133
3,0.17894736842105263,0.15789473684210525,0.18867924528301888,0.2641509433962264,0.22388059701492538,0.22388059701492538,0.2413793103448276,0.20689655172413793,0.18823529411764706,0.16470588235294117,0.25,0.25,0.20238095238095238,0.15476190476190477,0.16666666666666666,0.28205128205128205,0.22727272727272727,0.21212121212121213,0.25,0.26785714285714285
4,0.22666666666666666,0.24,0.18478260869565216,0.2608695652173913,0.16666666666666666,0.23333333333333334,0.16129032258064516,0.17204301075268819,0.171875,0.21875,0.3064516129032258,0.22580645161290322,0.10465116279069768,0.2441860465116279,0.1978021978021978,0.15384615384615385,0.14285714285714285,0.19047619047619047,0.15853658536585366,0.25609756097560976
5,0.3103448275862069,0.3103448275862069,0.16279069767441862,0.13953488372093023,0.25,0.2833333333333333,0.24561403508771928,0.2631578947368421,0.21333333333333335,0.22666666666666666,0.2619047619047619,0.21428571428571427,0.3023255813953488,0.27906976744186046,0.1875,0.28125,0.1797752808988764,0.2247191011235955,0.18,0.18
6,0.2033898305084746,0.3220338983050847,0.23232323232323232,0.21212121212121213,0.14285714285714285,0.2857142857142857,0.1702127659574468,0.1595744680851064,0.3,0.3,0.1509433962264151,0.24528301886792453,0.2,0.24210526315789474,0.2,0.24285714285714285,0.1956521739130435,0.2391304347826087,0.17333333333333334,0.24
7,0.21649484536082475,0.2268041237113402,0.1935483870967742,0.25806451612903225,0.19753086419753085,0.2222222222222222,0.15151515151515152,0.19696969696969696,0.09090909090909091,0.2909090909090909,0.23404255319148937,0.23404255319148937,0.24210526315789474,0.12631578947368421,0.15151515151515152,0.1717171717171717,0.2054794520547945,0.1780821917808219,0.24528301886792453,0.3018867924528302
8,0.25925925925925924,0.2345679012345679,0.17857142857142858,0.20238095238095238,0.21686746987951808,0.1566265060240964,0.175,0.175,0.22807017543859648,0.2631578947368421,0.18309859154929578,0.19718309859154928,0.17567567567567569,0.28378378378378377,0.2549019607843137,0.3333333333333333,0.08,0.24,0.15217391304347827,0.1956521739130435
9,0.16842105263157894,0.2631578947368421,0.21428571428571427,0.1836734693877551,0.20253164556962025,0.24050632911392406,0.17647058823529413,0.29411764705882354,0.22535211267605634,0.2535211267605634,0.24242424242424243,0.22727272727272727,0.16666666666666666,0.23333333333333334,0.2692307692307692,0.24358974358974358,0.23636363636363636,0.21818181818181817,0.25252525252525254,0.1919191919191919
10,0.2835820895522388,0.2537313432835821,0.12658227848101267,0.20253164556962025,0.16923076923076924,0.18461538461538463,0.1875,0.17708333333333334,0.17721518987341772,0.22784810126582278,0.20689655172413793,0.3103448275862069,0.23529411764705882,0.22058823529411764,0.2857142857142857,0.15714285714285714,0.25287356321839083,0.27586206896551724,0.2537313432835821,0.2835820895522388
11,0.21839080459770116,0.1724137931034483,0.1827956989247312,0.16129032258064516,0.2153846153846154,0.24615384615384617,0.19607843137254902,0.19607843137254902,0.19101123595505617,0.24719101123595505,0.22972972972972974,0.22972972972972974,0.2777777777777778,0.25925925925925924,0.21212121212121213,0.18181818181818182,0.24528301886792453,0.20754716981132076,0.225,0.2125
12,0.1927710843373494,0.24096385542168675,0.11538461538461539,0.3076923076923077,0.2,0.26153846153846155,0.22413793103448276,0.1896551724137931,0.19767441860465115,0.23255813953488372,0.17391304347826086,0.2028985507246377,0.22105263157894736,0.24210526315789474,0.21666666666666667,0.26666666666666666,0.13829787234042554,0.1276595744680851,0.2375,0.2875
13,0.24705882352941178,0.17647058823529413,0.09090909090909091,0.23636363636363636,0.17391304347826086,0.20652173913043478,0.14285714285714285,0.17142857142857143,0.2,0.28,0.20408163265306123,0.21428571428571427,0.16393442622950818,0.22950819672131148,0.1527777777777778,0.25,0.2463768115942029,0.2463768115942029,0.2,0.2833333333333333
14,0.15254237288135594,0.3220338983050847,0.21621621621621623,0.22972972972972974,0.13333333333333333,0.28,0.17721518987341772,0.1518987341772152,0.16129032258064516,0.27419354838709675,0.125,0.265625,0.22727272727272727,0.16666666666666666,0.1917808219178082,0.273972602739726,0.17894736842105263,0.12631578947368421,0.15517241379310345,0.2413793103448276
15,0.17582417582417584,0.16483516483516483,0.2125,0.25,0.19791666666666666,0.20833333333333334,0.21839080459770116,0.1839080459770115,0.1958762886597938,0.17525773195876287,0.3611111111111111,0.3194444444444444,0.09,0.16,0.16161616161616163,0.20202020202020202,0.2235294117647059,0.27058823529411763,0.19402985074626866,0.23880597014925373
16,0.1744186046511628,0.1744186046511628,0.18085106382978725,0.1702127659574468,0.2,0.28,0.18032786885245902,0.2459016393442623,0.24242424242424243,0.22727272727272727,0.23809523809523808,0.2619047619047619,0.17857142857142858,0.17857142857142858,0.2807017543859649,0.22807017543859648,0.22077922077922077,0.16883116883116883,0.2247191011235955,0.1797752808988764
